SAMPLE POINT;DATE;Rain (mm)
MMS01;4/8/2009;0
MMS01;5/8/2009;0
MMS01;6/8/2009;0
MMS01;7/8/2009;0
MMS01;8/8/2009;0
MMS01;9/8/2009;0
MMS01;10/8/2009;0
MMS01;11/8/2009;4
MMS01;12/8/2009;0
MMS01;13/8/2009;0
MMS01;14/8/2009;0
MMS01;15/8/2009;0,4
MMS01;16/8/2009;0
MMS01;17/8/2009;0
MMS01;18/8/2009;0
MMS01;19/8/2009;0
MMS01;20/8/2009;0
MMS01;21/8/2009;0
MMS01;22/8/2009;0
MMS01;23/8/2009;0
MMS01;24/8/2009;0
MMS01;25/8/2009;0,4
MMS01;26/8/2009;0
MMS01;27/8/2009;0
MMS01;28/8/2009;0
MMS01;29/8/2009;0
MMS01;30/8/2009;0,2
MMS01;31/8/2009;0,2
MMS01;1/9/2009;5
MMS01;2/9/2009;0
MMS01;3/9/2009;0
MMS01;4/9/2009;0
MMS01;5/9/2009;0
MMS01;6/9/2009;1,2
MMS01;7/9/2009;0
MMS01;8/9/2009;0,2
MMS01;9/9/2009;0
MMS01;10/9/2009;0
MMS01;11/9/2009;1,4
MMS01;12/9/2009;1,2
MMS01;13/9/2009;0
MMS01;14/9/2009;4,6
MMS01;15/9/2009;0
MMS01;16/9/2009;0
MMS01;17/9/2009;0
MMS01;18/9/2009;1,2
MMS01;19/9/2009;0,2
MMS01;20/9/2009;19,8
MMS01;21/9/2009;0
MMS01;22/9/2009;0
MMS01;23/9/2009;0
MMS01;24/9/2009;0
MMS01;25/9/2009;0
MMS01;26/9/2009;0
MMS01;27/9/2009;0
MMS01;28/9/2009;0
MMS01;29/9/2009;0
MMS01;30/9/2009;0
MMS01;1/10/2009;0
MMS01;2/10/2009;0,4
MMS01;3/10/2009;1,4
MMS01;4/10/2009;0
MMS01;5/10/2009;0
MMS01;6/10/2009;0
MMS01;7/10/2009;0
MMS01;8/10/2009;0
MMS01;9/10/2009;0
MMS01;10/10/2009;0
MMS01;11/10/2009;0
MMS01;12/10/2009;0
MMS01;13/10/2009;0
MMS01;14/10/2009;0
MMS01;15/10/2009;5
MMS01;16/10/2009;11
MMS01;17/10/2009;0
MMS01;18/10/2009;0,4
MMS01;19/10/2009;0,2
MMS01;20/10/2009;0
MMS01;21/10/2009;0
MMS01;22/10/2009;0
MMS01;23/10/2009;0
MMS01;24/10/2009;0,4
MMS01;25/10/2009;2,2
MMS01;26/10/2009;0,4
MMS01;27/10/2009;0
MMS01;28/10/2009;0,4
MMS01;29/10/2009;0
MMS01;30/10/2009;29,8
MMS01;31/10/2009;5,2
MMS01;1/11/2009;0,2
MMS01;2/11/2009;0
MMS01;3/11/2009;68,2
MMS01;4/11/2009;0
MMS01;5/11/2009;0
MMS01;6/11/2009;0
MMS01;7/11/2009;0,4
MMS01;8/11/2009;6,6
MMS01;9/11/2009;0
MMS01;10/11/2009;11,4
MMS01;11/11/2009;0
MMS01;12/11/2009;0
MMS01;13/11/2009;0
MMS01;14/11/2009;0
MMS01;15/11/2009;0
MMS01;16/11/2009;0
MMS01;17/11/2009;0
MMS01;18/11/2009;0
MMS01;19/11/2009;0
MMS01;20/11/2009;0
MMS01;21/11/2009;0
MMS01;22/11/2009;0
MMS01;23/11/2009;0
MMS01;24/11/2009;0
MMS01;25/11/2009;0
MMS01;26/11/2009;0
MMS01;27/11/2009;0
MMS01;28/11/2009;0
MMS01;29/11/2009;0
MMS01;30/11/2009;0
MMS01;5/1/2010;5,4
MMS01;6/1/2010;0
MMS01;7/1/2010;0
MMS01;8/1/2010;0
MMS01;9/1/2010;0
MMS01;10/1/2010;0
MMS01;11/1/2010;0
MMS01;12/1/2010;0,6
MMS01;13/1/2010;0,2
MMS01;14/1/2010;1,2
MMS01;15/1/2010;0,2
MMS01;16/1/2010;0
MMS01;17/1/2010;0
MMS01;18/1/2010;0,2
MMS01;19/1/2010;0,4
MMS01;20/1/2010;2,2
MMS01;21/1/2010;0
MMS01;22/1/2010;5,8
MMS01;23/1/2010;4,4
MMS01;24/1/2010;0
MMS01;25/1/2010;0
MMS01;26/1/2010;0
MMS01;27/1/2010;0
MMS01;28/1/2010;4,2
MMS01;29/1/2010;2,2
MMS01;30/1/2010;2
MMS01;31/1/2010;0,8
MMS01;1/2/2010;0,6
MMS01;2/2/2010;3
MMS01;3/2/2010;0
MMS01;4/2/2010;0
MMS01;5/2/2010;0
MMS01;6/2/2010;36,4
MMS01;7/2/2010;39,8
MMS01;8/2/2010;17,6
MMS01;9/2/2010;0
MMS01;10/2/2010;163,4
MMS01;11/2/2010;0,4
MMS01;12/2/2010;11,2
MMS01;13/2/2010;0
MMS01;14/2/2010;19,8
