SAMPLE POINT;DATE;Rain (mm)
SMS31;1/8/2006;0
SMS31;2/8/2006;0
SMS31;3/8/2006;0
SMS31;4/8/2006;0
SMS31;5/8/2006;0
SMS31;6/8/2006;2,4
SMS31;7/8/2006;1,4
SMS31;8/8/2006;0
SMS31;9/8/2006;0
SMS31;10/8/2006;2
SMS31;11/8/2006;0,2
SMS31;12/8/2006;0
SMS31;13/8/2006;0
SMS31;14/8/2006;0
SMS31;15/8/2006;0
SMS31;16/8/2006;0
SMS31;17/8/2006;0
SMS31;18/8/2006;0
SMS31;19/8/2006;0
SMS31;20/8/2006;0
SMS31;21/8/2006;0
SMS31;22/8/2006;0
SMS31;23/8/2006;0
SMS31;24/8/2006;0
SMS31;25/8/2006;0
SMS31;26/8/2006;0
SMS31;27/8/2006;0
SMS31;28/8/2006;11,6
SMS31;29/8/2006;0
SMS31;30/8/2006;0
SMS31;31/8/2006;0
SMS31;1/9/2006;0
SMS31;2/9/2006;0
SMS31;3/9/2006;0
SMS31;4/9/2006;0
SMS31;5/9/2006;0
SMS31;6/9/2006;0
SMS31;7/9/2006;0
SMS31;8/9/2006;0
SMS31;9/9/2006;9
SMS31;10/9/2006;4,4
SMS31;11/9/2006;0
SMS31;12/9/2006;0
SMS31;13/9/2006;0
SMS31;14/9/2006;0
SMS31;15/9/2006;0,2
SMS31;16/9/2006;0
SMS31;17/9/2006;0,2
SMS31;18/9/2006;7,2
SMS31;19/9/2006;0,2
SMS31;20/9/2006;17,6
SMS31;21/9/2006;0,6
SMS31;22/9/2006;2
SMS31;23/9/2006;12,2
SMS31;24/9/2006;55,2
SMS31;25/9/2006;0
SMS31;26/9/2006;1,4
SMS31;27/9/2006;30,6
SMS31;28/9/2006;11,8
SMS31;29/9/2006;0,2
SMS31;30/9/2006;0,2
SMS31;1/10/2006;0,2
SMS31;2/10/2006;0,2
SMS31;3/10/2006;0,2
SMS31;4/10/2006;0,4
SMS31;5/10/2006;0
SMS31;6/10/2006;0,4
SMS31;7/10/2006;45
SMS31;8/10/2006;276,6
SMS31;9/10/2006;37,2
SMS31;10/10/2006;1,2
SMS31;11/10/2006;0
SMS31;12/10/2006;0
SMS31;13/10/2006;0
SMS31;14/10/2006;0
SMS31;15/10/2006;0
SMS31;16/10/2006;5,2
SMS31;17/10/2006;0
SMS31;18/10/2006;0
SMS31;19/10/2006;0
SMS31;20/10/2006;0
SMS31;21/10/2006;19
SMS31;22/10/2006;1
SMS31;23/10/2006;0
SMS31;24/10/2006;0,4
SMS31;25/10/2006;0
SMS31;26/10/2006;0,4
SMS31;27/10/2006;0
SMS31;28/10/2006;0
SMS31;29/10/2006;0
SMS31;30/10/2006;21,4
SMS31;31/10/2006;0
SMS31;1/11/2006;0
SMS31;2/11/2006;5
SMS31;3/11/2006;1,4
SMS31;4/11/2006;0
SMS31;5/11/2006;0
SMS31;6/11/2006;0
SMS31;7/11/2006;0
SMS31;8/11/2006;0
SMS31;9/11/2006;0
SMS31;10/11/2006;1,8
SMS31;11/11/2006;5
SMS31;12/11/2006;0
SMS31;13/11/2006;1,2
SMS31;14/11/2006;0
SMS31;15/11/2006;0
SMS31;16/11/2006;0
SMS31;17/11/2006;0
SMS31;18/11/2006;0
SMS31;19/11/2006;0
SMS31;20/11/2006;0
SMS31;21/11/2006;0
SMS31;22/11/2006;0
SMS31;23/11/2006;22,6
SMS31;24/11/2006;0,4
SMS31;25/11/2006;4,8
SMS31;26/11/2006;0
SMS31;27/11/2006;0
SMS31;28/11/2006;0
SMS31;29/11/2006;0
SMS31;30/11/2006;0
SMS31;1/12/2006;0
SMS31;2/12/2006;0
SMS31;3/12/2006;0,2
SMS31;4/12/2006;0,2
SMS31;5/12/2006;0
SMS31;6/12/2006;0
SMS31;7/12/2006;0,2
SMS31;8/12/2006;0,2
SMS31;9/12/2006;0
SMS31;10/12/2006;0
SMS31;11/12/2006;1,2
SMS31;12/12/2006;24
SMS31;13/12/2006;0
SMS31;14/12/2006;0
SMS31;15/12/2006;0
SMS31;16/12/2006;0
SMS31;17/12/2006;0
SMS31;18/12/2006;0,2
SMS31;19/12/2006;2,4
SMS31;20/12/2006;18,4
SMS31;21/12/2006;7,6
SMS31;22/12/2006;0
SMS31;23/12/2006;0
SMS31;24/12/2006;0
SMS31;25/12/2006;0
SMS31;26/12/2006;0
SMS31;27/12/2006;0
SMS31;28/12/2006;0
